Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Waterfront,10/6/2020,Electric Bike,Broken Mode Buttons,Need to find local seller to buy and get corporates input on it,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/00CFE9B7-634A-4403-868B-DA62E6F1359E.jpeg,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Needs new Spokes,"Replaced 5 infinity rims (total up): 6/9 are up. 3 infinity bikes. Solution: Get four wheels from Edinger. 2 front 2 rear (Stuck front brake line,flat inner tube, needs spokes replaced on all 4 wheels)",,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Needs a kickstand,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Rear Shifting nut,Call max to know how to install,,"Done, Received",,,,,1/16/2021,Robert Mounce,,,,,,
Edinger,10/6/2020,Tandem,Needs Bottom Bracket bolt,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Cruiser,Handle Bar / Bent back wheel,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Single Surrey,Unaligned frame needs to be dropped,"Remove both front wheels and steering lever ,top silver post frames,",,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Single Surrey,Needs spokes to be tightened Rear Left,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Swan Boat,Small Leaks in #3,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Quad Sport,Chain Skipping (Coaster Brake Adj.),,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Cruiser,Seat screw isn't staying on seat,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Needs axle key,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Chain fell off,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Brake keeps locking,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Broken rear rim and flat,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Chain,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Chopper,Seat fell back all the way,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/665C9B3A-8CB4-44B5-ADD1-E2EF25BA3351.png,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Petal,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Broken Rear Rim,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/6/2020,Single Surrey,Hard to move,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/6/2020,Double Surrey,Squeaky,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/7/2020,Single Surrey,Lime green frame cracking,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/FD0A5F40-D8EF-49DA-975C-8338DE344D58.jpeg,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/8/2020,Double Surrey,Chain fell off rear driver side,,,Done,,,Jonathon,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/9/2020,Chopper,Needs front axle,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/15/2020,Deuce Coupe,Needs a new headset,Needs headset bearings,,Done,,,Robert,,1/14/2021,Robert Mounce,,,,,,
Warner,10/19/2020,Double Surrey,Passenger Sprocket needs to be changed,Passenger,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/19/2020,Double Surrey,Wheel is rubbing with frame,Max straightened the frame out with jack just need to get it up with putting the frame on etc.,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2021.jpg,"Done, Planned",,,,,2/12/2021,Robert Mounce,,,,,,
Yorba,10/19/2020,Swan Boat,Drained the boat but need to patch holes #1,Still need to find holes on both pontoons and swan head,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%207.jpg,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,tire creates holes in innertube,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,Chain fell off,,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,Broken basket,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/24/2020,Cruiser,Chain fell off,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/26/2020,Electric Bike,Ebike Battery holder,Need special tool(Did we get it)?,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/451AF1F1-7A61-462E-B41F-838145B36859.jpeg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/74906095-B52A-44A8-ADB3-0AFC25E479DE.jpeg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2024.jpg",Received,,,,Down,7/8/2021,Robert Mounce,Robert Mounce,,,,,
Waterfront,10/28/2020,Quad Sport,Quad Sport Rear axle,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/28/2020,Kids Bike,Rear cable brake cable replace,Universal Cable installed onto the rear wheel should send a pic to max to see if I need any other stuff for the bike,,Done,,,,Down,2/8/2021,Robert Mounce,,,,,,
Waterfront,10/31/2020,Cruiser,Kickstand,I have a kickstand there,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/5/2020,Electric Bike,Shifting cable is torn by chain,Needed new housing just needs to be adjusted,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Edinger,11/12/2020,Swan Boat,Leak on left side. Boat #5,Got everything I need at edinger,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/CBCFEBC5-EB0B-43C9-8ECB-233E99CAE6A6.jpeg,Done,,,Nathaniel Huitt,,12/30/2020,Robert Mounce,,,,,,
Yorba,11/12/2020,Swan Boat,Chipped canapé holder,"I ordered a couple to get yorba up but still need them to put them on, but be useless if I dont have any straps.",Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%208.jpg,"Done, Ordered",,,Robert,Down,2/19/2021,Robert Mounce,,,,,,
Waterfront,11/13/2020,Electric Bike,Chain fell off,Need Special Tool,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2025.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2026.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2027.jpg",Back Order,https://www.notion.so/9-gear-derailer-c0442808e13147db96f7ede9d3dd788d,,,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 22, 2021",,,1,
Waterfront,11/15/2020,Infinity Bike,customer crashed and the wheel squeaks,,,Done,,,Robert Mounce,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Broken chain and loose seat,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser loose seat #1,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser loose seat #2,order bulk,,Done,,,Norma,Down,1/2/2021,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser: flat rear tire,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Electric Bike,"(4550) does not power on, then it does, then it doesn’t, then does, then doesn’t",,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/A55C289D-4CE9-4344-AFF6-95E202B81CA9.jpeg,Done,,,Norma,Down,1/24/2021,Robert Mounce,,,,,,
Yorba,11/23/2020,Single Surrey,Needs brake adj./ 17 brake screw nut,Almost done,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%209.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2010.jpg",Done,,,,Down,12/31/2020,Robert Mounce,,,,,,
Warner,11/23/2020,Double Surrey,Right Driver broken frame,Got replacement at waterfront,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2022.jpg,Done,,,Rob,,2/8/2021,Robert Mounce,,,,,,
Yorba,11/26/2020,Double Surrey,Missing right wheel spokes,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2011.jpg,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Yorba,11/26/2020,Double Surrey,Broken pedal,,,Done,,,Joel,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/3/2020,Cruiser,Cruiser Chain,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/3/2020,Single Surrey,The passenger back wheel is squeaking really loud.,brake to tight,,Done,,,Ally,Down,6/20/2021,Robert Mounce,,,,,,
Yorba,12/3/2020,Chopper,Steering is tough to turn,"Chopper to nut is to tight, so loosen it. Also drill a new hole on the fork for it to sit lower",,Done,,,,Down,1/25/2021,Robert Mounce,,,,,,
Yorba,12/3/2020,Quad Sport,Needs tire/ innertube,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/5/2020,Chopper,Right Tire squeaking loudley,,,Done,,,Nathaniel Huitt,,1/14/2021,Robert Mounce,,,,,,
